User,Type_Offline,Confidence_Offline,Events
01PrathamS,Unknown,,1
0Z17,Unknown,,1
0x-CHUN,Unknown,,2
0xGeorgeTorres,Unknown,,1
0xdeity,Unknown,,2
0xdevalias,Human,0.795,5
0xjavad,Unknown,,1
10-zin,Unknown,,1
1008-JB,Unknown,,1
100abhishek,Unknown,,1
112523chen,Unknown,,3
124451,Unknown,,1
1311440131,Unknown,,3
1696012928,Unknown,,1
1adetbeyfendi,Unknown,,2
1dagord,Unknown,,1
1oop,Unknown,,1
2356852131,Unknown,,1
23f2000237,Unknown,,1
2793525733,Unknown,,3
2gab,Human,0.62,7
2mhk,Human,0.795,5
2niuhe,Human,0.795,5
2sn,Human,0.863,179
311090,Unknown,,2
32714HHK,Unknown,,2
34j,Human,0.892,11
3asyAiden,Unknown,,2
3mini,Unknown,,3
42dot-heeyeon-cho,Unknown,,1
46729,Unknown,,1
521xueweihan,Unknown,,1
5453fgjmdfk,Unknown,,1
557766umer,Unknown,,1
5ifar,Unknown,,3
5ky9uy,Human,0.215,53
686llhhhhhh,Unknown,,1
6abe,Unknown,,2
6ixGODD,Unknown,,2
8a2a8,Unknown,,2
913085,Unknown,,1
986023997,Unknown,,1
A-nkt,Unknown,,3
A1B3rrt,Unknown,,1
ABitCraz,Unknown,,1
ADoobie,Unknown,,1
AH-Hammi,Unknown,,1
AIGeneratorist,Unknown,,4
AJ3408,Unknown,,1
ALLinLLM,Unknown,,1
ALMLK-1996,Unknown,,1
AN63L,Unknown,,3
Aadam95,Unknown,,1
Aangh26,Unknown,,1
Aaryan89,Unknown,,3
Aatrick,Unknown,,1
Abdo-Mohammed-10,Unknown,,2
AbdulBasit-AB03,Unknown,,1
Abgael,Unknown,,1
AbhinavJangra29,Unknown,,1
Abu-H,Bot,0.249,5
Abyssalwolf,Unknown,,2
Ack-Mox,Unknown,,3
Adi3g,Unknown,,2
AdolphWilliam,Unknown,,1
AdrianAbeyta,Human,0.618,18
AdrienCorenflos,Unknown,,2
Affordan,Unknown,,1
AgilentGCMS,Human,0.346,156
Ahanka758,Unknown,,1
Ahdhn,Unknown,,3
Ahmadrezalbs,Unknown,,1
AhmedAlfahdi,Unknown,,2
Aidan-Hamilton,Unknown,,1
AidanHattingh,Unknown,,2
Airumian,Unknown,,3
Aithosa,Unknown,,1
AitorBengoechea,Unknown,,2
Akshataa1804,Unknown,,1
Akzyn,Unknown,,1
Al3kHT,Unknown,,1
AlArgente,Unknown,,2
AlbertFX91,Unknown,,1
Aldo-Ca,Unknown,,1
Alec1198055421,Human,0.885,6
Alencar93,Unknown,,1
Alex-Li2018,Unknown,,1
AlexanderWells-diamond,Unknown,,1
Alexandre-aksenov,Unknown,,1
Alexis-Clt,Unknown,,1
Alfespo97,Unknown,,1
AliasAndrew,Unknown,,1
Altares,Unknown,,1
AltayYuzeir,Human,0.747,8
AlterraFa,Unknown,,2
AmmarAR97,Unknown,,1
Amos-kays,Unknown,,1
AnaIsabel92,Unknown,,1
AnandPolamarasetti,Human,0.327,12
Andre1876,Unknown,,1
AndreaIbarra1115,Unknown,,1
Andreamezquita,Unknown,,1
Andrej730,Human,0.301,15
AndresB101996,Unknown,,1
AndreuCodina,Unknown,,1
Andrew1059,Unknown,,1
AndrewHYi,Unknown,,1
AndrewNg,Unknown,,1
AndrewSterrett,Unknown,,1
AndyZhu1991,Unknown,,1
Angelazo8,Unknown,,1
AngusWG,Unknown,,1
AnnaMogilevskiy,Unknown,,2
Annsshhh08,Unknown,,1
AnonymousPlayer2000,Bot,0.118,18
AnonymousResearcher2000,Unknown,,1
Anonyms-david83,Bot,0.261,5
Anth1337,Unknown,,2
AnthonyPerrett,Human,0.747,6
ArcPlayz,Bot,0.095,23
AriESQ,Human,0.747,6
AriadnaTapia,Unknown,,1
Arjun-sajeev319,Unknown,,1
Arniiiii,Unknown,,1
Artalelujare,Unknown,,1
ArtemF42,Unknown,,1
ArthurAsenheimer,Human,0.733,19
ArthurWangNet,Unknown,,1
Artur-Daveian,Unknown,,1
ArturF3lip3,Unknown,,1
ArvidJB,Human,0.466,11
ArvinKing77,Unknown,,1
AryanA3,Unknown,,3
Asachoo,Unknown,,3
AsepticEgg,Unknown,,2
AsesinoBlade,Unknown,,1
AshecOne,Unknown,,1
AstonM96,Unknown,,1
Aterolite24,Unknown,,3
Atlaszyw,Unknown,,1
AurelienBioprojet,Unknown,,1
Awei1729,Unknown,,1
Azureblade3808,Human,0.926,17
BAAAKA,Unknown,,1
BEJARK,Unknown,,3
BForchini,Unknown,,1
BHold-MJ,Unknown,,1
BJ4K3,Unknown,,2
BRAUGARDO116,Unknown,,1
BTruer,Unknown,,1
BZBY,Unknown,,1
Bakhtiyar-Garashov,Unknown,,3
Banguiskode,Human,0.747,6
Barahlush,Unknown,,1
Bardreamaster,Unknown,,2
Beaconian,Unknown,,2
Beslan09,Human,0.526,8
BillDo,Unknown,,2
BinarySyntax,Unknown,,1
Biotech-Ariel,Unknown,,1
BlaDeKe,Unknown,,1
Blackjackzhao,Unknown,,3
BlazionYou,Bot,0.08,5
BlueSharkPartners,Unknown,,4
Bo-GeL,Unknown,,2
BobSkyMaster,Unknown,,1
Bondrake,Unknown,,1
Braganca-rj,Unknown,,1
BranmericanExpress,Unknown,,1
BrennonTWilliams,Unknown,,2
BrianEdwards85,Unknown,,1
BrownsugarZeer,Unknown,,2
BrunoCiccarino,Human,0.651,5
BrunoGeorgevich,Unknown,,4
Bunnificent,Unknown,,1
ButterWizardTRUE,Unknown,,1
C0d3N1nJ4,Unknown,,1
CECIJU15,Unknown,,2
CKylinMC,Unknown,,1
CNelis,Unknown,,1
CXL-2099,Unknown,,3
Caffrey-Chen,Human,0.795,5
CalK16,Unknown,,2
CalebFuster,Unknown,,1
Calvindd2f,Unknown,,3
CamKHardin,Unknown,,2
CamelShoko,Unknown,,1
CanftIn,Human,0.747,6
Carl-haijiao,Unknown,,1
CarloLepelaars,Unknown,,1
CarlosYazid,Human,0.636,6
CarolinaBas,Unknown,,1
Casey-Litmer,Unknown,,1
